Restaurant_ID,Restaurant_Name,Location,Category,Primary_Cuisine,Estimated_Cost_for_Two_INR,Estimated_Rating,Specialty
31,Salt Water Cafe,Bandra,Chic Bistro,European,2500,4.4,"All-Day Breakfast, Burgers"
32,Indigo Delicatessen,Colaba,Casual Dining,European,2800,4.3,"Deli Sandwiches, Pasta"
33,Smoke House Deli,Bandra,Casual Dining,European,2600,4.2,"Smoked Meats, Pastas"
34,The Pantry,Fort,Quaint Cafe,"Healthy, Organic",1400,4.3,Healthy Cafe Fare
35,Kala Ghoda Cafe,Kala Ghoda,Artistic Cafe,Organic Cafe,1200,4.2,"Organic Coffee, Waffles"
36,Suzette,Nariman Point,French Creperie,French,1800,4.4,Authentic French Crepes
37,The Nutcracker,Fort,Cozy Cafe,Comfort Food,1500,4.5,"Akuri, Pancakes, Burgers"
38,Candies,Bandra,Iconic Cafe,Multi-Cuisine,800,4.3,"Sandwiches, Puffs, Salads"
39,Pizza By The Bay,Marine Drive,Casual Dining,Italian,2200,4.1,Pizzas with a View
40,Olive Bar & Kitchen,Khar,Romantic,Mediterranean,4000,4.3,"Romantic Ambience, Pizzas"
41,Izumi,Bandra,Authentic Japanese,Japanese,3000,4.8,"Ramen, Sushi"
42,Pa Pa Ya,Lower Parel,Modern Asian,Pan-Asian,2800,4.4,"Sushi Matrix, Modern Asian"
43,Foo,Andheri,Trendy,Pan-Asian,2500,4.5,"Asian Tapas, Sushi"
44,KOKO,Lower Parel,Chic Bar,Cantonese,3500,4.5,"Cocktails, Modern Cantonese"
45,Royal China,Fort,Classic Chinese,Chinese,3000,4.3,"Authentic Cantonese, Dim Sum"
46,Shizusan Shophouse,Lower Parel,Casual Dining,Pan-Asian,2200,4.2,"Sushi, Baos, Curries"
47,Mamagoto,Bandra,Fun & Quirky,Pan-Asian,2000,4.2,Asian Street Food Fusion
48,By the Mekong,Lower Parel,Fine Dining,Pan-Asian,5500,4.5,"High-Floor Views, Curries"
49,Ling's Pavilion,Colaba,Legendary,Chinese,2500,4.4,Classic Chinese Dishes
50,Nara Thai,BKC,Fine Dining,Thai,3500,4.4,Authentic Thai Cuisine
51,Americano,Fort,Chic,Italian-American,3200,4.6,"Neapolitan Pizza, Cocktails"
52,Le Cirque Signature,Andheri,Fine Dining,"French, Italian",7000,4.5,Luxury French-Italian Dining
53,Celini,Santacruz,Authentic Italian,Italian,4500,4.3,Handmade Pastas
54,Vetro,Nariman Point,Fine Dining,Italian,6500,4.4,Extensive Wine List
55,Bayroute,Juhu,Themed Dining,Middle Eastern,3300,4.7,Authentic Middle Eastern
56,Soufflé S'il Vous Plaît,Churchgate,Specialty French,French,2500,4.5,Sweet & Savory Soufflés
57,Bastian,Bandra,Trendy,Seafood,4500,4.5,"Lobster Rolls, Cheesecake"
58,Pali Bhavan,Bandra,Boutique,Indian,2000,4.3,"Traditional Indian, Decor"
59,Tanjore Tiffin Room,Bandra,Regional Specialty,Tamilian,1800,4.4,Homestyle Tamil Food
60,Sodabottleopenerwala,BKC,Themed,Parsi,2000,4.2,"Parsi Food, Quirky Decor"
61,Swati Snacks,Tardeo,Iconic,Gujarati,1000,4.6,"Panki, Fada ni Khichdi"
62,Sardar Pav Bhaji,Tardeo,Legendary Street Food,Street Food,500,4.7,Butter Pav Bhaji
63,Elco Pani Puri Centre,Bandra,Iconic Street Food,Street Food,600,4.4,Chaat & Pani Puri
64,Guru Kripa,Sion,Legendary,Street Food,400,4.3,Samosa Chole
65,Shree Krishna Batata Vada,Dadar,Legendary Street Food,Street Food,100,4.6,Batata Vada
66,Aaswad,Dadar,Iconic,Maharashtrian,600,4.5,"Misal Pav, Thalipeeth"
67,Anand Stall,Vile Parle,Legendary Street Food,Street Food,400,4.4,Dosa Varieties
68,Cannon Pav Bhaji,CST,Legendary Street Food,Street Food,300,4.3,Classic Pav Bhaji
69,K. Rustom & Co.,Churchgate,Iconic Dessert,Dessert,200,4.7,Ice Cream Sandwiches
70,Bachelorr's,Chowpatty,Legendary,"Juices, Dessert",700,4.3,"Juices, Shakes, Ice Creams"
71,Theobroma,Colaba,Famous Bakery,Dessert,600,4.6,"Brownies, Cakes"
72,La Folie,Kala Ghoda,Artisan Bakery,Dessert,1000,4.5,French Patisserie
73,Poetry by Love & Cheesecake,Kala Ghoda,Chic Cafe,Dessert,1200,4.4,"Cheesecakes, Cafe Food"
74,Prithvi Cafe,Juhu,Iconic,Cafe,800,4.4,"Irish Coffee, Parathas"
75,Grandmama's Cafe,Dadar,Themed Cafe,Cafe,1400,4.1,"Comfort Food, Decor"
76,Sequel Bistro & Juice Bar,Bandra,Health Cafe,Healthy,1800,4.3,Organic & Vegan Options
77,Birdsong - The Organic Cafe,Bandra,Quaint Cafe,Healthy,1500,4.2,Organic & Gluten-Free
78,Subko Coffee Roasters,Bandra,Artisan Coffee,Cafe,900,4.7,"Specialty Coffee, Croissants"
79,Koinonia Coffee Roasters,Bandra,Artisan Coffee,Cafe,700,4.6,Manual Brew Coffee
80,Yazdani Bakery,Fort,Historic Bakery,Bakery,200,4.4,"Brun Maska, Mawa Cake"
81,Ekaa,Fort,Fine Dining,Modern Indian,5000,4.6,Ingredient-Driven Cuisine
82,Seefah,Bandra,Authentic,"Thai, Japanese",2500,4.5,Authentic Thai & Japanese
83,Veronica's,Bandra,Trendy Cafe,Sandwiches,1200,4.6,Gourmet Sandwiches
84,The Bagel Shop,Bandra,Niche,Cafe,1000,4.2,Authentic Bagels
85,Mag St. Cafe,Colaba,Stylish,Cafe,1800,4.3,All-Day Cafe & Bar
86,Bizza,Bandra,Pizzeria,Italian,1600,4.4,Creative Pizzas
87,Poco Loco,Khar,Fun Dining,"Spanish, Mexican",2200,4.3,"Tapas, Cocktails"
88,"Izumi, Katsu Sando",Bandra,Niche,Japanese,1500,4.7,Japanese Katsu Sando
89,The Bluebop Cafe,Khar,Themed,Italian,2000,4.2,Live Jazz Music
90,Millo,Lower Parel,Trendy,Vegetarian,1800,4.3,Global Vegetarian Cuisine
91,Highway Gomantak,Bandra,Local Favourite,"Goan, Seafood",900,4.4,Goan Fish Thali
92,Jai Hind Lunch Home,Lower Parel,Local Favourite,Malvani,1000,4.3,Malvani Seafood
93,Apoorva,Fort,Local Favourite,Seafood,1200,4.3,Mangalorean Seafood
94,Sion Lunch Home,Sion,Local Favourite,Seafood,800,4.4,Affordable Seafood Thalis
95,Satkar Rice Plate House,Goregaon,Local Favourite,Malvani,700,4.5,Authentic Malvani Fish
96,Pancham Puriwala,Fort,Historic,North Indian,300,4.2,Puri-Bhaji Thalis
97,Modern Juice Centre,Matunga,Legendary,Juices,350,4.4,Fresh Juices & Snacks
98,Cafe Madras,Matunga,Iconic,South Indian,500,4.6,"Filter Coffee, Tiffin"
99,Ramashraya,Matunga,Iconic,South Indian,400,4.5,Udupi Breakfast
100,Cafe Military,Fort,Iconic Cafe,Parsi,800,4.1,"Kheema Pav, Caramel Custard"
101,Ishaara,Lower Parel,Unique Concept,Indian,2000,4.5,Served by speech & hearing impaired
102,The Finch,Powai,Gastropub,Multi-Cuisine,2500,4.3,"Live Music, Brewery"
103,AER,Worli,Rooftop Bar,Lounge,5000,4.6,"Cocktails, City View"
104,The Daily Bar & Kitchen,Bandra,Bar,European,2200,4.2,"Cocktails, Good Vibe"
105,Estella,Juhu,Modern Australian,Australian,4500,4.5,"Seafront, Sundowners"
106,Kitchen Garden by Suzette,Bandra,Health Cafe,Healthy,1500,4.5,"Salads, Sandwiches, Smoothies"
107,Cafe Panama,Lower Parel,Latin American,Latin,2500,4.3,"Tacos, Ceviche"
108,London Taxi,Lower Parel,Gastropub,Global,2300,4.1,"Themed Decor, Cocktails"
109,Glocal Junction,Andheri,Bar,Global,1800,4.2,"Fusion Food, Nightlife"
110,Bombay Adda,Santacruz,Rooftop Bar,North Indian,2000,4,"Rooftop, Nightlife"
111,Hitchki,BKC,Resto-bar,Fusion Indian,1800,4.4,"Quirky Menu, Bollywood Theme"
112,M.I.T.R.O.N,Dadar,Lounge,Multi-Cuisine,1600,4.2,"Casual Vibe, Bar Food"
113,145 Cafe & Bar,Kala Ghoda,Bar,Comfort Food,1800,4.3,"Freakshakes, Sliders"
114,Effingut,Colaba,Brewery,Pub Grub,2000,4.4,Craft Beers
115,Toit,Lower Parel,Brewery,Pub Grub,2200,4.6,"Craft Beers, Pizzas"
116,Doolally Taproom,Khar,Brewery,Pub Grub,2000,4.5,"House Fries, Craft Beers"
117,The Sassy Spoon,Nariman Point,Chic Dining,European,2500,4.3,"Quirky Decor, Desserts"
118,Social,Multiple,Co-working/Bar,Multi-Cuisine,1600,4.3,"Themed Drinks, Casual Vibe"
119,Cream Centre,Chowpatty,Veg Casual Dining,Multi-Cuisine,1500,4.2,"Channa Bhatura, Nachos"
120,The Yoga House,Bandra,Health Cafe,Healthy,1400,4.3,"Yoga Studio, Healthy Food"
121,Gadda Da Vida,Juhu,Lounge,Mediterranean,4000,4.4,"Sea View, Cocktails"
122,Goya,Byculla,Modern European,European,3000,4.6,"Hidden Gem, Small Plates"
123,Cecconi's,Juhu,Authentic Italian,Italian,4000,4.5,"Sunday Brunch, Sea View"
124,The Clearing House,Ballard Estate,Modern European,European,3500,4.4,"Chic Ambience, Cocktails"
125,Bombay Taco Company,Bandra,QSR,Mexican,800,4.2,Tacos
126,Ray's Cafe & Pizzeria,Bandra,Pizzeria,Italian,1500,4.3,Thin Crust Pizzas
127,Gustoso,Kemps Corner,Authentic Italian,Italian,3000,4.4,Neapolitan Pizza
128,Farmer's Cafe,Bandra,Health Cafe,Healthy,1200,4.1,Healthy & Vegan Options
129,Cafe Arpan,Juhu,Unique Concept,Indian,800,4.8,Run by adults with disabilities
130,Out Of The Blue,Khar,Casual Dining,European,2000,4.2,"Fondue, Sizzlers"
131,Mirchi and Mime,Powai,Unique Concept,Indian,2000,4.6,Served by speech & hearing impaired
132,Madeira & Mime,Powai,Unique Concept,Pub Grub,1800,4.5,Sister pub to Mirchi and Mime
133,Nawab Saheb,Powai,Fine Dining,North Indian,4000,4.4,"Kebabs, Indian Breads"
134,Lake View Cafe,Powai,Buffet,Multi-Cuisine,3500,4.3,Lavish Buffets
135,Emperor's Court,Powai,Fine Dining,Chinese,3000,4.1,Classic Chinese
136,TAP,Multiple,Resto-bar,Multi-Cuisine,1500,4,Casual Bar
137,Pop Tate's,Multiple,Resto-bar,Multi-Cuisine,1600,4.1,"Sizzlers, Casual Vibe"
138,Cafe Churchill,Colaba,Quaint Cafe,Continental,1000,4.2,"Small, Cozy, Pastas"
139,Cafe Zoe,Lower Parel,Chic Dining,European,2500,4.3,"Industrial Decor, Brunch"
140,Plate & Pint,Kemps Corner,Cafe,"Bakery, Cafe",1000,4.2,"Desserts, Quick Bites"
141,Mocambo Cafe,Fort,Classic Dining,Continental,1500,4.1,Old-World Charm
142,Cafe Ideal,Chowpatty,Classic Dining,Parsi,900,4,Parsi Dishes
143,Jimmy Boy,Fort,Classic Dining,Parsi,1000,4.1,Lagan nu Bhonu (Parsi Thali)
144,Cafe Excelsior,Fort,Iconic Cafe,"Parsi, Mughlai",800,4,"Keema, Cutlets"
145,Cafe Irani Chaii,Mahim,Iconic Cafe,Irani,400,4.3,Mutton Keema Ghotala
146,Slink & Bardot,Worli,Chic Dining,Modern French,3500,4.4,"French Cuisine, Ambience"
147,Woodside Inn,Colaba,Gastropub,Pub Grub,2000,4.3,"Burgers, Craft Beers"
148,The Little Door,Andheri,Bar,Mediterranean,1800,4.2,"Fun Vibe, Karaoke"
149,Blanco,Andheri,Themed,Greek,1600,4.1,Greek Themed Decor
150,Lord of the Drinks,Andheri,Lounge,Multi-Cuisine,2500,4.3,"Large Space, Nightlife"
151,The Irish House,Multiple,Pub,Pub Grub,2000,4.2,"Beer, Fish & Chips"
152,Global Fusion,Bandra,Buffet,Pan-Asian,2500,4.3,Extensive Buffet
153,Barbeque Nation,Multiple,Buffet,North Indian,1800,4.4,"Live Grill, Buffet"
154,Sigree Global Grill,Powai,Buffet,North Indian,2000,4.2,Indian Grill Buffet
155,Mini Punjab's Lakeside,Powai,Casual Dining,North Indian,1500,4.1,"Butter Chicken, Koliwada Prawns"
156,Pritam Da Dhaba,Dadar,Classic Dining,North Indian,1600,4.2,Dhaba Style Seating
157,Urban Tadka,Multiple,Casual Dining,North Indian,1400,4,Punjabi Food
158,Persia Darbar,Jogeshwari,Casual Dining,Mughlai,1500,4.3,Raan Biryani
159,Jaffer Bhai's Delhi Darbar,Multiple,Classic Dining,Mughlai,1400,4.2,"Biryani, Mughlai Dishes"
160,Lucky Restaurant,Bandra,Classic Dining,Mughlai,1000,4.1,Biryani
161,Goa Portuguesa,Mahim,Regional Specialty,Goan,1800,4.2,Authentic Goan Food
162,Soul Curry,Powai,Regional Specialty,"Goan, Seafood",1600,4.3,Goan Curries
163,The Calcutta Club,Andheri,Regional Specialty,Bengali,1200,4.2,"Luchi, Kosha Mangsho"
164,Bhojohori Manna,Oshiwara,Regional Specialty,Bengali,1000,4.1,Traditional Bengali Thali
165,Banana Leaf,Multiple,Casual Dining,South Indian,900,4.3,South Indian Thali
166,Dakshinayan,Juhu,Casual Dining,South Indian,1000,4.4,Authentic Tiffin
167,Cafe Mysore,Matunga,Iconic,South Indian,400,4.4,"Mysore Dosa, Filter Coffee"
168,Arya Bhavan,Matunga,Iconic,South Indian,500,4.5,"Idli, Dosa"
169,Shree Gangour Sweets,Juhu,Casual Dining,Rajasthani,1000,4.1,"Rajasthani Snacks, Sweets"
170,Chetana,Fort,Traditional,"Gujarati, Rajasthani",1300,4.3,Vegetarian Thali
171,Samrat,Churchgate,Traditional,Gujarati,1100,4.2,Gujarati Thali
172,Prakash Shakahari Upahar Kendra,Dadar,Iconic,Maharashtrian,300,4.4,"Sabudana Vada, Misal"
173,Mama Kane's Swatchha Upahar Griha,Dadar,Iconic,Maharashtrian,250,4.3,"Batata Vada, Thalipeeth"
174,Panshikar,Multiple,QSR,Maharashtrian,400,4.2,Maharashtrian Sweets & Snacks
175,Ladu Samrat,Parel,QSR,Maharashtrian,300,4.3,"Piyush, Kothimbir Vadi"
176,Kailash Parbat,Multiple,Casual Dining,"Sindhi, North Indian",1000,4,"Chaat, Chole Bhature"
177,Vig Refreshments,Chembur,QSR,Sindhi,300,4.4,"Dal Pakwan, Chole Bhature"
178,Punjab Sweet House,Bandra,QSR,North Indian,400,4.2,"Samosa, Sweets"
179,Merwans Cake Shop,Andheri,Bakery,Dessert,300,4.4,"Mawa Cake, Rolls"
180,B. Merwan & Co.,Grant Road,Iconic Bakery,Bakery,200,4.3,"Mawa Cake, Bun Maska"
181,Jimmy's Bakery,Bandra,Bakery,Dessert,400,4.2,"Macaroons, Cakes"
182,American Express Bakery,Bandra,Bakery,Bakery,500,4.3,"Breads, Croissants"
183,Le 15 Patisserie,Multiple,Dessert Parlour,Dessert,500,4.4,"Macarons, Cupcakes"
184,Daniel Patissier,Bandra,Dessert Parlour,Dessert,600,4.6,"Macarons, Japanese Cheesecake"
185,Boston Cupcakery,Multiple,Dessert Parlour,Dessert,400,4.2,"Cupcakes, Freakshakes"
186,Bastian Bakery,Bandra,Bakery,Dessert,800,4.5,"Cheesecakes, Pastries"
187,Chantilly Cafe,Bandra,Dessert Parlour,Dessert,700,4.6,"Hot Chocolate, Waffles"
188,The Rolling Pin,Lower Parel,Boulangerie,Bakery,1200,4.2,"Breads, Pastries, Cafe Food"
189,Suzette Bakery,Bandra,Bakery,Bakery,800,4.4,"Croissants, Breads"
190,Gaylord's Bake Shop,Churchgate,Bakery,Bakery,600,4.3,"Pastries, Croissants"
191,Kofuku,Bandra,Authentic Japanese,Japanese,2800,4.4,"Sushi, Traditional Seating"
192,Hello Guppy,BKC,Fun & Quirky,Japanese,2000,4.1,"Ramen, Karaoke"
193,Yazu - Pan Asian Supper Club,Andheri,Chic Dining,Pan-Asian,2500,4.5,"Sushi, Dim Sum"
194,Taki Taki,Lower Parel,Chic Dining,Japanese,3000,4.4,"Sushi, Japanese Grills"
195,The Fatty Bao,Bandra,Fun & Quirky,Pan-Asian,2200,4.3,"Baos, Ramen"
196,Keiba,Mahalaxmi,Chic Dining,Pan-Asian,3000,4.2,Race Course View
197,Facing East,Juhu,Classic Chinese,Chinese,1800,4.2,Authentic Chinese
198,China Bistro,Multiple,Casual Dining,Chinese,1600,4.3,Pan-Asian Cuisine
199,Mainland China,Multiple,Casual Dining,Chinese,2000,4.2,Classic Chinese Dishes
200,Kuai Kitchen,Colaba,QSR,Chinese,900,4.3,"Quick, Modern Asian"
201,The Bombay Presidency Golf Club,Chembur,Members Only,Multi-Cuisine,1500,4.4,Club Vibe
202,Willingdon Sports Club,Mahalaxmi,Members Only,Multi-Cuisine,1800,4.5,Legacy Club
203,Bombay Gymkhana,Fort,Members Only,Multi-Cuisine,1600,4.5,Historic Club
204,Pali Village Cafe,Bandra,Boutique Cafe,European,2800,4.1,"Rustic Decor, Wine"
205,Cafe Royal,Colaba,Classic Dining,Continental,1800,4,Sizzlers
206,Kobe Sizzlers,Multiple,Casual Dining,Sizzlers,1500,4.1,Classic Sizzlers
207,Yoko Sizzlers,Multiple,Casual Dining,Sizzlers,1600,4.2,Famous Sizzlers
208,Fountain Sizzlers,Fort,Classic Dining,Sizzlers,1400,4,Old School Sizzlers
209,Cafe Universal,Fort,Iconic Cafe,Multi-Cuisine,1200,4,"Parsi, Continental"
210,Cafe General & Stores,Fort,Iconic Cafe,Parsi,600,4.1,"Akuri, Cutlets"
211,Ideal Corner,Fort,Iconic Cafe,Parsi,800,4.2,"Dhansak, Sali Boti"
212,Cafe Colony,Dadar,Iconic Cafe,Parsi,700,4.1,Keema Pav
213,Light of Bharat,Dadar,Iconic Cafe,Irani,500,4,Bun Maska Chai
214,Bismillah Restaurant,Mahim,Classic Dining,Mughlai,900,4.2,Seekh Kebabs
215,Sarvi,Byculla,Classic Dining,Mughlai,800,4.3,Seekh Kebabs
216,Noor Mohammadi Hotel,Bhendi Bazaar,Classic Dining,Mughlai,700,4.3,"Nalli Nihari, Sanju Baba Chicken"
217,Persian Darbar,Byculla,Classic Dining,Mughlai,1500,4.4,Raan Biryani
218,Chinese Palace,Santacruz,Classic Chinese,Chinese,1600,4.1,Old School Chinese
219,Kimling,Bandra,Classic Chinese,Chinese,1500,4,Indian Chinese
220,Uncle's Kitchen,Malad,Classic Chinese,Chinese,1200,4.2,Popular Local Chinese
221,Joe's Pizza,Bandra,Pizzeria,Italian,1000,4.4,Pizza by the Slice
222,1Tablespoon Pizza Kitchen,Matunga,Pizzeria,Italian,800,4.3,Thin Crust Pizzas
223,Joey's Pizza,Malad,Pizzeria,Italian,900,4.5,Heavily Topped Pizzas
224,Eva's Pizza,Andheri,Pizzeria,Italian,700,4.2,Local Pizza Chain
225,Francesco's Pizzeria,Multiple,Pizzeria,Italian,1400,4.1,Gourmet Pizzas
226,Jamie's Pizzeria,Lower Parel,Pizzeria,Italian,1500,4,Jamie Oliver Franchise
227,Pizza Express,Multiple,Pizzeria,Italian,1800,4.2,Classic Italian Pizzas
228,CinCin,BKC,Upscale Casual,Italian,3000,4.4,"Handmade Pasta, Wine"
229,Mangii Ferra,Juhu,Casual Dining,Italian,2000,4.1,Wood Fired Pizzas
230,Little Italy,Juhu,Veg Casual Dining,Italian,1800,4.2,Vegetarian Italian
231,Cafe Mangii,Powai,Casual Dining,Italian,1600,4,"Pizzas, Pastas"
232,Cafe Mommyjoon,Bandra,Specialty Cuisine,Iranian,1500,4.5,Authentic Iranian Kebabs
233,Arbab,Bandra,Casual Dining,Lebanese,1800,4.3,Lebanese Grills
234,Carter's Blue,Bandra,QSR,Lebanese,700,4.2,Shawarma Rolls
235,Piccadilly,Colaba,QSR,Lebanese,800,4.1,"Shawarma, Falafel"
236,Ayaz's,Fort,QSR,North Indian,400,4.3,Kathi Rolls
237,Hangla's,Bandra,QSR,Bengali,500,4.1,Kathi Rolls
238,The Good Wife,BKC,Chic Bar,European,3000,4.3,After-Work Drinks
239,Monkey Bar,Bandra,Gastropub,Fusion,2200,4.2,"Quirky Food, Cocktails"
240,Hoppipola,Multiple,Bar,Multi-Cuisine,1500,4,"Fun, Young Crowd"
241,Quarter Pillar,Khar,Bar,North Indian,1400,4.1,Affordable Drinks
242,Janata Lunch Home,Bandra,Bar,Seafood,900,4.2,"Cheap Drinks, Seafood"
243,Gokul,Colaba,Bar,North Indian,800,4,"Dive Bar, Cult Following"
244,Cafe Oval,Churchgate,Iconic Cafe,Multi-Cuisine,700,4,"Keema Pav, Puffs"
245,Stadium Restaurant,Churchgate,Iconic Cafe,Multi-Cuisine,800,4.1,Keema Pav
246,Raju Sandwich Stall,Churchgate,Street Food,Sandwiches,250,4.4,Grilled Sandwiches
247,Gupta Sandwich,Vashi,Street Food,Sandwiches,300,4.5,Large Sandwiches
248,Amar Juice Centre,Vile Parle,Street Food,Multi-Cuisine,600,4.2,"Pav Bhaji, Juices"
249,Maruti Pav Bhaji,Vile Parle,Street Food,Street Food,400,4.3,Black Pav Bhaji
250,Achija,Ghatkopar,Veg Casual Dining,Multi-Cuisine,1200,4.2,Late Night Veg Food
251,Khau Galli,Multiple,Street Food,Street Food,500,4.1,Various Street Foods
252,Amar Fast Food & Restaurant,Multiple,Casual Dining,Multi-Cuisine,1000,4,"Pav Bhaji, Pizzas"
253,Shiv Sagar,Multiple,Veg Casual Dining,Multi-Cuisine,900,4,"Pav Bhaji, South Indian"
254,Status,Nariman Point,Traditional,"Gujarati, South Indian",1200,4.2,Office Lunch Crowd
255,Samvene,Santacruz,Veg Casual Dining,Multi-Cuisine,1300,4.1,Vegetarian Global Cuisine
256,Candy & Green,Breach Candy,Health Cafe,Healthy,1600,4.2,Vegetarian Health Food
257,Garde Manger Cafe,Vile Parle,Health Cafe,Healthy,1000,4.3,"Salads, Juices"
258,The Village Shop,Bandra,Health Cafe,Healthy,1200,4.2,"Organic, Vegan"
259,Earth Cafe,Bandra,Health Cafe,Healthy,1500,4.3,Vegan & Gluten-Free
260,The Salad Bar & Walnut Cafe,Vashi,Health Cafe,Healthy,900,4.4,"Salads, Healthy Meals"
261,Bombay Salad Co.,Bandra,Health Cafe,Healthy,1000,4.4,Make-Your-Own Salads
262,Flax,Multiple,Health Cafe,Healthy,900,4.3,Healthy Bowls & Salads
263,Protein Rush,Multiple,Health Cafe,Healthy,800,4.2,"Protein Shakes, Healthy Meals"
264,Pishu's,Andheri,Health Cafe,Healthy,700,4.1,"Juices, Healthy Snacks"
265,Fruitilicious,Multiple,Juices,Juices,600,4.2,"Fresh Juices, Milkshakes"
266,Haji Ali Juice Centre,Haji Ali,Juices,Juices,700,4.1,"Fruit Creams, Juices"
267,Rustomjee Ice Cream,Thane,Ice Cream,Ice Cream,300,4.4,Hand-churned Ice Cream
268,Taj Ice Cream,Bhendi Bazaar,Ice Cream,Ice Cream,400,4.5,Sancha (Hand-churned) Ice Cream
269,Apsara Ice Cream,Multiple,Ice Cream,Ice Cream,300,4.4,Unique Indian Flavours
270,Naturals Ice Cream,Multiple,Ice Cream,Ice Cream,250,4.6,Fresh Fruit Ice Creams
271,K. Rustom's,Marine Drive,Ice Cream,Ice Cream,200,4.7,Ice Cream Sandwiches
272,Gokul Bite,Vile Parle,QSR,Gujarati,300,4.3,"Farsan, Dhokla"
273,Mumbadevi Jalebiwala,Zaveri Bazaar,Street Food,Dessert,150,4.4,"Jalebi, Fafda"
274,Punjab Sind Paneer,Multiple,QSR,Dairy,500,4.5,"Paneer, Dairy products"
275,Tewari Bros.,Juhu,QSR,Sweets,400,4.2,"Samosa, Indian Sweets"
276,Brijwasi Sweets,Multiple,QSR,Sweets,500,4.1,Indian Sweets
277,MM Mithaiwala,Malad,QSR,Sweets,400,4.3,Large Variety of Sweets
278,Shree Gangour Sweets,Juhu,QSR,Sweets,800,4.1,Sweets and Snacks
279,Ashok Vada Pav,Dadar,Street Food,Vada Pav,100,4.6,Famous Vada Pav
280,Aram Vada Pav,CST,Street Food,Vada Pav,100,4.4,Vada Pav near CST
281,Dheeraj Vada Pav,Vile Parle,Street Food,Vada Pav,100,4.3,Vada Pav near college
282,Jai Maharashtra Vada Pav,Andheri,Street Food,Vada Pav,100,4.2,Local Vada Pav
283,Anand Dosa,Vile Parle,Street Food,Dosa,300,4.4,"Jinni Dosa, Cheese Dosa"
284,Narayan's Dosa,Grant Road,Street Food,Dosa,250,4.3,Palak Paneer Dosa
285,Theeram,Khar,Casual Dining,Kerala,900,4.3,Kerala Cuisine
286,Sneha Restaurant,Mahim,Casual Dining,Kerala,600,4.4,"Appam, Beef Fry"
287,Harish Lunch Home,Fort,Casual Dining,Kerala,700,4.2,Fish Curry Meals
